[Log] ,lang,browser,wasm_exec_ms,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb,click_latency_ms (performanceMetrics.js, line 126)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,58270,16.06,14.00,21.00,,46.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,58880,16.06,16.00,17.00,,46.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,59490,16.06,14.00,21.00,,46.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,63.00,60.00,60090,16.21,15.00,26.00,,46.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,63.00,61.00,60700,17.00,14.00,67.00,,57.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,58.00,61.00,61280,16.06,11.00,28.00,,57.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,60.00,61310,16.06,16.00,17.00,,47.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,61920,16.08,14.00,27.00,,47.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,62530,16.06,15.00,17.00,,47.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,63140,16.06,14.00,27.00,,46.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,60.00,63740,16.06,15.00,22.00,,47.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,64350,16.06,16.00,17.00,,48.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,64960,16.06,15.00,27.00,,48.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,61.00,65570,16.06,15.00,18.00,,48.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,60.00,66170,16.06,12.00,27.00,,49.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,63.00,61.00,66780,16.31,15.00,30.00,,48.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,62.00,61.00,67390,15.90,11.00,17.00,,48.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,63.00,60.00,67990,16.06,12.00,20.00,,50.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,63.00,60.00,68590,16.18,12.00,28.00,,49.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,61,63.00,61.00,69200,16.59,16.00,18.00,,66.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,60.00,60.00,69800,16.95,16.00,29.00,,50.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,64,59.00,60.00,70370,15.83,13.00,17.00,,50.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,64.00,61.00,70400,17.02,16.00,28.00,,50.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,59.00,60.00,70970,15.95,13.00,17.00,,50.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,63.00,60.00,71000,17.08,16.00,28.00,,51.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,64,59.00,60.00,71570,15.88,13.00,17.00,,51.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,58,63.00,61.00,71590,17.38,16.00,27.00,,37.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,58.00,60.00,72170,15.87,13.00,17.00,,37.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,58,63.00,60.00,72190,17.47,16.00,30.00,,33.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,58.00,61.00,72780,16.05,15.00,17.00,,33.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,57,62.00,60.00,72790,17.58,16.00,26.00,,17.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,58.00,60.00,73370,15.97,14.00,17.00,,17.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,56,63.00,61.00,73390,17.95,16.00,31.00,,34.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,56.00,60.00,73970,15.90,13.00,17.00,,34.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,53,63.00,61.00,73990,19.15,17.00,72.00,,89.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,56.00,60.00,74540,16.02,14.00,17.00,,89.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,56,63.00,61.00,74590,17.98,16.00,31.00,,86.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,56.00,60.00,75140,15.90,13.00,17.00,,86.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,55,63.00,61.00,75190,18.40,17.00,33.00,,105.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,55.00,60.00,75740,15.89,14.00,17.00,,105.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,55,63.00,61.00,75790,18.33,17.00,30.00,,100.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,56.00,61.00,76330,15.97,14.00,25.00,,100.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,55,63.00,60.00,76390,18.31,18.00,20.00,,108.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,55.00,61.00,76930,16.06,14.00,22.00,,108.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,54,62.00,60.00,76980,18.57,18.00,20.00,,91.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,55.00,60.00,77520,15.94,13.00,26.00,,91.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,54,63.00,61.00,77580,18.81,18.00,20.00,,113.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,54.00,61.00,78120,16.02,14.00,27.00,,113.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,54,62.00,60.00,78170,18.83,18.00,21.00,,93.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,54.00,61.00,78720,15.98,14.00,28.00,,93.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,54,62.00,60.00,78760,18.78,18.00,20.00,,74.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,54.00,60.00,79320,16.03,14.00,26.00,,74.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,53,62.00,60.00,79350,19.00,18.00,20.00,,55.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,54.00,61.00,79920,15.90,14.00,28.00,,55.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,52,63.00,61.00,79960,19.25,18.00,21.00,,76.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,53.00,60.00,80510,16.03,14.00,30.00,,76.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,52,62.00,61.00,80550,19.42,19.00,22.00,,77.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,53.00,60.00,81100,15.87,14.00,17.00,,77.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,52,63.00,61.00,81150,19.52,18.00,21.00,,95.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,52.00,60.00,81700,16.27,15.00,37.00,,95.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,52,61.00,61.00,81740,19.58,19.00,21.00,,78.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,52.00,60.00,82290,16.05,14.00,17.00,,78.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,49,62.00,60.00,82320,20.41,18.00,41.00,,59.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,50.00,60.00,82870,17.14,15.00,68.00,,59.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,58.00,61.00,82870,16.06,15.00,17.00,,59.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,51,63.00,61.00,82900,20.00,19.00,22.00,,58.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,51.00,60.00,83470,16.19,14.00,36.00,,58.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,50,61.00,60.00,83490,20.18,19.00,22.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,51.00,61.00,84060,15.95,14.00,17.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,50,62.00,60.00,84080,20.04,19.00,22.00,,40.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,51.00,61.00,84650,16.23,14.00,38.00,,40.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,50,61.00,60.00,84670,20.32,20.00,22.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,51.00,61.00,85240,16.03,15.00,17.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,49,62.00,60.00,85260,20.80,19.00,43.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,50.00,61.00,85840,16.05,15.00,17.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,48,62.00,61.00,85860,21.23,20.00,23.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,49.00,61.00,86430,16.16,15.00,18.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,47,61.00,60.00,86450,21.64,21.00,24.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,60,48.00,61.00,87020,16.73,14.00,34.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,46,59.00,60.00,87040,22.00,21.00,24.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,60,47.00,61.00,87610,16.80,15.00,37.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,46,59.00,61.00,87630,22.04,21.00,24.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,47.00,60.00,88200,17.05,15.00,40.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,60,58.00,61.00,88200,16.75,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,45,60.00,60.00,88220,22.38,20.00,43.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,46.00,61.00,88790,17.00,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,58.00,60.00,88790,17.19,15.00,39.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,59.00,61.00,88790,16.98,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,54,59.00,60.00,88790,18.52,16.00,53.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,55.00,60.00,88790,17.07,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,57,58.00,61.00,88790,17.79,16.00,33.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,13,57.00,60.00,88790,84.62,16.00,316.00,,43.00 (performanceMetrics.js, line 132)
